Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Measurement of unused medication in Medicare Part D residents in skilled nursing facilities.","Unused medication for Medicare Part D residents in nursing facilities costs approximately 3% of dispensed cost, amounting to approximately $125 million annually across all U.S. nursing facilities.","G. Bazalo, R. Weiss",2011,3,"To determine the cost of unused medication dispensed to Medicare Part D residents in nursing facilities in the United States and to describe the distribution of unused medication based on dispensed prescription cost and unit medication cost. A prospective study in which dispensed and returned prescription data for Medicare Part D residents encompassing the first six months of 2010 were provided by eight long-term care pharmacies servicing approximately 33,700 residents in 425 facilities. Nursing facilities. Residents covered by Medicare Part D. Unused medication as a percentage of dispensed prescriptions was calculated based on the number of returned prescriptions and the cost of unused medication for all dosage forms and for solid oral forms. For all dosage forms, 6.8% of dispensed prescriptions were returned partially used, representing 3.5% of dispensed cost. For solid oral dosage forms, 6.1% of all dispensed prescriptions were returned partially used, representing 2.9% ± 1% of total dispensed cost. For returned oral solid prescriptions, 24% had a dispensed cost of $50 or more but accounted for 84% of the cost of returned medications; 26% had a unit cost of $1 of more, but accounted for 83% of the cost. The total amount of unconsumed solid oral medication for Medicare Part D residents in skilled nursing facilities was estimated at $125 million annually. The estimated cost of unconsumed medications dispensed to Medicare Part D residents in nursing facilities is approximately 3% of dispensed cost, amounting to approximately $125 million across all U.S. nursing facilities.","non-rct observational study","The Consultant pharmacist : the journal of the American Society of Consultant Pharmacists","","10.4140/tcp.n.2011.647","https://consensus.app/papers/measurement-of-unused-medication-in-medicare-part-d-bazalo-weiss/bd754905e6865377a7649b1753e24699/"
"Cost of discarded medication in Indiana long-term care facilities.","Unit dose drug distribution systems in long-term care facilities significantly reduce the cost of discarded medication compared to traditional systems.","C. Brown, K. W. Kirk",1984,4,"The cost of discarded medication was studied in 17 Indiana intermediate-care and skilled-nursing facilities with varying bed capacities and drug-distribution systems. During visits to each facility, one or two pharmacists collected data on patients' drug regimens and the quantities of medication dispensed and discarded over periods of one to seven months. A total of $ 5,620 worth of medication ($ 4,472 excluding topical medications) was destroyed in the facilities during the study period. The projected annual cost of discarded medication was approximately $ 15,800 ($ 12,460 excluding topical medications). In the 13 facilities using some type of unit dose drug distribution system, the mean projected annual cost of discarded medication per patient ($ 4.07) was significantly less than for the four facilities using traditional drug-distribution systems ($ 23.54). There was an inverse relationship between bed capacity and mean projected annual cost of discarded medication per patient. The use of unit dose drug distribution systems in all long-term care facilities would be expected to result in substantial savings in the costs of discarded medications.","non-rct observational study","American journal of hospital pharmacy","","10.1093/ajhp/41.4.698","https://consensus.app/papers/cost-of-discarded-medication-in-indiana-longterm-care-brown-kirk/377e12e07113563683790b04ed9855ca/"
"Drug discard patterns in long-term care facilities.","Medicaid prescriptions in long-term care facilities result in $2,493.01 in medication discards, with central nervous system agents, antiinfectives, and cardiac drugs accounting for 75% of all prescriptions.","J. J. Ciullo, M. Shepherd",1977,3,"","non-rct observational study","Journal of the American Pharmaceutical Association","1","10.1016/s0003-0465(15)30007-0","https://consensus.app/papers/drug-discard-patterns-in-longterm-care-facilities-ciullo-shepherd/c530c2dc33fb59d388f24341212a04e5/"
"US could recycle 10 million unused prescription drugs a year, report says","Recycled prescription drugs could save the US $2bn annually in unexpired medicines, according to a report by Marketplace.","J. Lenzer",2014,11,"Long term care facilities in the United States waste about $2bn (£1.28bn; €1.61bn) in unexpired medicines every year, a report by the public radio show Marketplace said on 10 December.1 

Other estimates, which included all sources of wasted medicines, showed that as much as $5bn worth of unexpired prescription drugs in unopened blister packs, bottles, and vials are incinerated or flushed down the toilet each year.2

Nursing homes discard these drugs when patients are discharged or if their prescription is discontinued or changed, or if the patient dies. Institutions …","","BMJ : British Medical Journal","1","10.1136/bmj.g7677","https://consensus.app/papers/us-could-recycle-10-million-unused-prescription-drugs-a-lenzer/0d6681e2892652a4a1edcc4ef5ad2b0c/"
"Factors Associated with Unused Medicine Occurrences in Long-term Care Facilities","Unused medicines in long-term care facilities are substantial, with older adults who die being 15 times more likely to have unused medicines than those who are alive.","S. Jang, C. Kang",2022,0,"As the number of elderly living in long-term care facilities increases, unused medicines are also increasing. This study investigated the status of unused medicines in long-term care facilities and the factors affecting it. Using National Health Insurance Claims Database(NHICB) and Long-term Care Insurance Claims Database(LTCHCD), 137,309 people who lived only in long-term care facilities and took prescription drugs in 2019 were analyzed in this study. Most of them were prescribed by the clinic (41%), and the days per prescription were 25 days in average. Only 1.8% of prescriptions were from tertiary general hospitals, but the days per prescription reached 85 days, accounting for 67% of prescriptions for more than 60 days. The average age of long-term care facility residents was 84.8 years, and 22.6% of them deceased in 2019. 33.7% of the subjects had unused medicines. The days of unused medicines due to duplication in pharmacologically equivalent groups were 13 days in average. The average days of unused medicine due to death were comparatively longer, which was 75.5 days. Unused medicine costs were about 0.9% of the total pharmaceutical expenditures and 77.8% of the costs was caused by death. Unused medicines increased as the number of outpatient visits increased (Relative Risk (RR): 1.14) or when the days per prescription were long (RR: 1.16). Older adults who died were 15 times more likely to have unused medicines than those who were alive. The amount of unused medicines in long-term care facilities is substantial, so it is necessary to establish appropriate policies to reduce it.","","Yakhak Hoeji","","10.17480/psk.2022.66.6.364","https://consensus.app/papers/factors-associated-with-unused-medicine-occurrences-in-jang-kang/034eb639c18d56c989d74386242262b3/"
"Patient and medication factors associated with preventable medication waste and possibilities for redispensing","Over one-third of medication waste in Dutch community pharmacies can be prevented, while one-fifth can be redispensed, but this is less economically interesting.","C. Bekker, B. V. D. Bemt, B. V. D. Bemt, A. Egberts, Marcel L. Bouvy, Helga Gardarsdottir",2018,54,"Background Knowledge on factors related to preventable medication waste and waste-reducing interventions, including redispensing unused medications, is needed to maximise effectiveness. Objective To assess patient and medication factors associated with preventable medication waste and possibilities for redispensing unused medications. Setting Dutch community pharmacies. Methods In this cross-sectional study, pharmacy-staff registered patient and medication characteristics of prescription medications returned to 41 Dutch community pharmacies during 1 week in 2014. Medications were classified as preventable waste if the remaining amount could have been prevented and as theoretically eligible for redispensing if the package was unopened, undamaged and ≥ 6 months until the expiry date. Associations were analysed using multivariate logistic regression. Main outcome measures Proportion of medications classified as preventable waste and as eligible for redispensing, including factors associated with these medications. Results Overall, 279 persons returned 759 (low-cost) medications, and 39.3% was classified as preventable waste. These medications were more frequently used by men than women (OR; 1.7[1.2-2.3]) and by older (> 65 years) than younger patients (OR; 1.4[1.0-2.0]). Medications dispensed for longer periods were more often unnecessary wasted (1-3 months OR; 1.8[1.1-3.0], > 3 months 3.2[1.5-6.9]). Of all returned medications, 19.1% was eligible for redispensing. These medications were more frequently used by men than women (OR; 1.9[1.3-2.9]). Medications chronically used were more frequently eligible for redispensing than acute use (OR; 2.1[1.0-4.3]), and used for longer periods (1-3 months OR; 4.6[2.3-8.9], > 3 months 7.8[3.3-18.5]). Conclusions Over one-third of waste due to medications returned to community pharmacies can be prevented. One-fifth of returned medications can be redispensed, but this seems less interesting from an economic viewpoint.","non-rct observational study","International Journal of Clinical Pharmacy","1","10.1007/s11096-018-0642-8","https://consensus.app/papers/patient-and-medication-factors-associated-with-bekker-bemt/bb8d4c6da0195da6821073ea14187c14/"
"Recycling unused medications in hospitals is financially viable and good for the environment.","Recycling unused medications in hospitals can save money and reduce environmental impacts, with a net value of $415 000 per year.","Isla Drummond, Rajan Bains, Anmol Dosanjh, Simroop Ladhar, Linda Tang, Deborah Heidary, A. Tejani",2023,6,"Considerable pharmaceutical waste is generated in hospital settings which can be reduced by recycling of unused medications. We sought to determine the recycling practices as well as quantify the volume and the value of oral solid medications returned from nursing units to the pharmacy departments at three urban hospitals. Unused oral solid medications were recycled at three sites and the net financial impact of this practice was calculated (cost recovered - labour costs). The results were extrapolated to all 21 hospitals within the health system. Recycling medications in 21 hospitals could divert ~461 000 units of medication from the incinerator, with an estimated net value of ~$415 000 per year. Recycling unused medications could save substantial amounts of money and reduce negative environmental impacts from disposal/incineration.","non-rct observational study","The International journal of pharmacy practice","1","10.1093/ijpp/riad062","https://consensus.app/papers/recycling-unused-medications-in-hospitals-is-financially-drummond-bains/49a1a7061c5555c39822d2864e9ac7e9/"
"Waste-minimising measures to achieve sustainable supply and use of medication","Minimizing medication waste requires joint responsibility from manufacturers, distributors, prescribers, pharmacists, patients, and health authorities to achieve sustainable supply and use of medication.","E. M. Smale, T. Egberts, E. Heerdink, B. V. D. Bemt, C. Bekker",2021,84,"","literature review","Sustainable Chemistry and Pharmacy","1","10.1016/j.scp.2021.100400","https://consensus.app/papers/wasteminimising-measures-to-achieve-sustainable-supply-smale-egberts/6c6883bd40595328b121917ec68bbc9a/"
"Turning waste medicines to cost savings: A pilot study on the feasibility of medication recycling as a solution to drug wastage","Medication recycling is feasible and can provide significant cost savings, with most donations (90.8%) being reusable and varying reusability based on drug classes and donor sources.","M. Toh, L. Chew",2017,40,"Unused medicines represent a major source of wastage in healthcare systems around the world. Previous studies have suggested the potential cost savings from recycling the waste medicines. However, issues of product safety and integrity often deter healthcare institutions from recycling donated medications. To evaluate the feasibility of medication recycling and to assess the actual cost savings from recycling waste medicines and whether reusability of waste medicines differed among various drug classes and donor sources. Donated medications from hospitals, private medical clinics and patients were collected and assessed using a medication recycling protocol in a hospice care setting from November 2013 through January 2014. Costs were calculated using a reference pricing list from a public hospital. A total of 244 donations, amounting to 20,759 dosage units, were collected during the study period. Most donations (90.8%) were reusable, providing a total of S$5266 in cost savings. Less than 2 h daily was spent by a single pharmacy technician on the sorting and distributing processes. Medications donated by health facilities were thrice more likely to be reusable than those by patients (odds ratio = 3.614, 95% confidence interval = 3.127, 4.176). Medications belonging to Anatomical Therapeutic Chemical class G (0.0%), H (8.2%) and L (30.0%) were the least reusable. Most donated medications were reusable. The current protocol can be further streamlined to focus on the more reusable donor sources and drug classes and validated in other settings. Overall, we opine that it is feasible to practise medication recycling on a larger scale to reduce medication wastage.","non-rct observational study","Palliative Medicine","1","10.1177/0269216316639798","https://consensus.app/papers/turning-waste-medicines-to-cost-savings-a-pilot-study-on-the-toh-chew/62c2a7f7648b55b48e9cb3e84728ef34/"
"The economic impact of wasted prescription medication in an outpatient population of older adults.","Wasted prescription medication in older adults costs an average of $30.47 per person per year, representing 2.3% of total medication costs, with main causes being resolution of condition, patient-perceived ineffectiveness, prescription changes, and patient-perceived adverse effects.","T. M. Morgan",2001,69,"The causes and costs of outpatient medication waste are not known. We report the results of a cross-sectional pilot survey of medication waste in a convenience sample of 73 New Hampshire retirement community residents aged 65 years or older. We used questionnaires and in-home pill counts to determine the annual occurrence of medication waste, defined as no intention to take leftover medicines prescribed within the past year. Mean individual annual cost of wasted medication was $30.47 (range = $0-$131.56). Waste represented 2.3% of total medication costs. The main causes for waste included: resolution of the condition for which the medication was prescribed (37.4%), patient-perceived ineffectiveness (22.6%), prescription change by the physician (15.8%), and patient-perceived adverse effects (14.4%). Individual costs were modest, but if $30 per person represents a low estimate of average annual waste, the US national cost for adults older than 65 years would top $1 billion per year.","non-rct observational study","The Journal of family practice","3","","https://consensus.app/papers/the-economic-impact-of-wasted-prescription-medication-in-morgan/77109354670a53c2b6b645eb1e2fa5d5/"
